name,has_github_actions,has_test_runs
4catalyzer/astroturf,True,False
actualbudget/actual-server,True,True
adobe/react-spectrum,False,False
agraboso/redux-api-middleware,False,False
ai/size-limit,True,True
airbnb/react-sketchapp,False,False
aksonov/react-native-router-flux,False,False
alangpierce/sucrase,True,True
alexkuz/react-input-enhancements,False,False
algolia/algoliasearch-client-javascript,True,False
algolia/autocomplete,False,False
algolia/instantsearch,True,False
algolia/instantsearch.js,True,False
algolia/places,True,False
algolia/react-instantsearch,False,False
alibaba/bizcharts,False,False
alibaba/chatui,False,False
alibaba/formily,True,True
alibaba/hooks,True,True
alibaba/rax,True,False
alura/techguide,True,True
alxshelepenok/gatsby-starter-lumen,True,True
americanexpress/jest-image-snapshot,True,True
americanexpress/react-albus,True,False
amilajack/eslint-plugin-compat,True,True
amzn/style-dictionary,True,True
andarist/react-textarea-autosize,True,True
ankurk91/vue-loading-overlay,True,True
ant-design/ant-design,True,False
ant-design/ant-design-mobile,True,True
ant-design/ant-design-mobile-rn,True,False
ant-design/ant-design-pro,True,True
ant-design/pro-components,True,True
anthonyjgrove/react-google-login,True,False
anuraghazra/github-readme-stats,True,False
apexcharts/react-apexcharts,True,False
apihero-run/jsonhero-web,True,True
apollographql/apollo-cache-persist,False,False
apollographql/apollo-tooling,True,False
arackaf/customize-cra,False,False
arb/celebrate,True,True
argos-ci/jest-puppeteer,True,True
arqex/react-datetime,False,False
artsy/eigen,True,False
ashutosh00710/github-readme-activity-graph,True,True
astroturfcss/astroturf,True,False
atlassian/changesets,True,True
atomiks/tippyjs,True,False
atomiks/tippyjs-react,False,False
auth0/lock,True,True
autodesk/react-base-table,False,False
automattic/simplenote-electron,False,False
automattic/wp-calypso,True,False
awslabs/diagram-maker,True,False
axe312ger/sqip,False,False
babel/babel-upgrade,False,False
babel/minify,False,False
baidu/amis,True,True
balajmarius/svg2jsx,False,False
banga/git-split-diffs,True,True
bartonhammond/snowflake,False,False
bearer/pizzly,False,False
beefe/react-native-actionsheet,False,False
beekai-oss/react-simple-animate,True,True
birkir/prime,True,False
blocks/blocks,True,True
bluebill1049/react-simple-animate,True,True
boardgameio/boardgame.io,True,True
boostio/boostnote,False,False
boostio/boostnote-legacy,False,False
bottenderjs/messaging-apis,True,False
brh55/react-native-masonry,False,False
brimdata/brim,True,True
brimdata/zui,True,True
btd/rollup-plugin-visualizer,True,True
buildo/react-placeholder,True,False
cacjs/cac,False,False
caiogondim/logdown.js,False,False
calendso/calendso,True,False
calibreapp/image-actions,True,False
callstack/haul,False,False
callstack/react-native-paper,True,False
captbaritone/webamp,True,True
carbon-design-system/carbon-components-react,False,False
carloscuesta/gitmoji-cli,True,False
cartodb/cartodb,True,True
casesandberg/react-color,False,False
casesandberg/reactcss,False,False
chakra-ui/chakra-ui,True,True
chakra-ui/chakra-ui-vue,True,True
changesets/changesets,True,True
chanind/hanzi-writer,False,False
chimurai/http-proxy-middleware,True,True
clintonwoo/hackernews-react-graphql,False,False
cloud-annotations/cloud-annotations,False,False
cloudflare/cf-ui,False,False
coinbase/rest-hooks,True,False
computerjazz/react-native-draggable-flatlist,False,False
conventional-changelog/commitlint,True,True
coryhouse/react-slingshot,False,False
couds/react-bulma-components,True,False
cristianbote/goober,True,True
css-modules/postcss-modules,True,True
ctrlplusb/easy-peasy,True,False
ctrlplusb/react-universally,False,False
cwise89/react-detect-offline,False,False
dai-shi/react-hooks-global-state,True,True
dai-shi/react-tracked,True,True
dai-shi/use-context-selector,True,True
danger/danger-js,True,True
danilowoz/react-content-loader,True,True
